date,daily_confirmed_cases,total_confirmed_cases,daily_recovered_cases,total_recovered_cases,daily_death_cases,total_death_cases,daily_active_cases
27-Feb-20,1,23,2,22,0,0,1
28-Feb-20,2,25,0,22,0,0,3
29-Feb-20,0,25,0,22,0,0,3
1-Mar-20,4,29,0,22,0,0,7
2-Mar-20,0,29,0,22,0,0,7
3-Mar-20,7,36,0,22,0,0,14
4-Mar-20,14,50,1,23,0,0,27
5-Mar-20,5,55,0,23,0,0,32
6-Mar-20,28,83,0,23,0,0,60
7-Mar-20,10,93,1,24,0,0,69
8-Mar-20,6,99,1,25,0,0,74
9-Mar-20,18,117,1,26,0,0,91
10-Mar-20,12,129,0,26,0,0,103
11-Mar-20,20,149,1,27,0,0,122
12-Mar-20,9,158,6,33,0,0,125
13-Mar-20,39,197,0,33,0,0,164
14-Mar-20,41,238,4,37,0,0,201
15-Mar-20,190,428,5,42,0,0,386
16-Mar-20,125,553,0,42,0,0,511
17-Mar-20,120,673,7,49,2,2,622
18-Mar-20,117,790,11,60,0,2,728
19-Mar-20,110,900,15,75,0,2,823
20-Mar-20,130,1030,12,87,0,2,941
21-Mar-20,153,1183,27,114,2,4,1065
22-Mar-20,123,1306,25,139,6,10,1157
23-Mar-20,212,1518,20,159,4,14,1345
24-Mar-20,106,1624,24,183,1,15,1426
25-Mar-20,172,1796,16,199,4,19,1578
26-Mar-20,235,2031,16,215,4,23,1793
27-Mar-20,130,2161,44,259,3,26,1876
28-Mar-20,159,2320,61,320,1,27,1973
29-Mar-20,150,2470,68,388,7,34,2048
30-Mar-20,156,2626,90,478,3,37,2111
31-Mar-20,140,2766,58,536,6,43,2187
1-Apr-20,142,2908,108,644,2,45,2219
2-Apr-20,208,3116,122,766,5,50,2300
3-Apr-20,217,3333,60,826,3,53,2454
4-Apr-20,150,3483,88,914,4,57,2512
5-Apr-20,179,3662,90,1004,4,61,2597
6-Apr-20,131,3793,236,1240,1,62,2491
7-Apr-20,170,3963,80,1320,1,63,2580
8-Apr-20,156,4119,166,1486,2,65,2568
9-Apr-20,109,4228,121,1607,2,67,2554
10-Apr-20,118,4346,222,1829,3,70,2447
11-Apr-20,184,4530,165,1994,3,73,2463
12-Apr-20,153,4683,113,2107,3,76,2500
13-Apr-20,134,4817,168,2275,1,77,2465
14-Apr-20,170,4987,202,2477,5,82,2428
15-Apr-20,85,5072,169,2646,1,83,2343
16-Apr-20,110,5182,119,2765,1,84,2333
17-Apr-20,69,5251,201,2966,2,86,2199
18-Apr-20,54,5305,135,3101,2,88,2116
19-Apr-20,84,5389,95,3196,1,89,2104
20-Apr-20,36,5425,98,3294,0,89,2042
21-Apr-20,57,5482,54,3348,3,92,2042
22-Apr-20,50,5532,103,3451,1,93,1988
23-Apr-20,71,5603,90,3541,2,95,1967
24-Apr-20,88,5691,121,3662,1,96,1933
25-Apr-20,51,5742,99,3761,2,98,1883
26-Apr-20,38,5780,100,3861,0,98,1821
27-Apr-20,40,5820,95,3956,1,99,1765
28-Apr-20,31,5851,75,4031,1,100,1720
29-Apr-20,94,5945,55,4086,0,100,1759
30-Apr-20,57,6002,84,4170,2,102,1730
1-May-20,69,6071,39,4209,1,103,1759
2-May-20,105,6176,116,4325,0,103,1748
3-May-20,122,6298,87,4412,2,105,1781
4-May-20,55,6353,71,4483,0,105,1765
5-May-20,30,6383,83,4566,1,106,1711
6-May-20,45,6428,135,4701,1,107,1620
7-May-20,39,6467,74,4775,0,107,1585
8-May-20,68,6535,88,4863,0,107,1565
9-May-20,54,6589,65,4928,1,108,1553
10-May-20,67,6656,96,5024,0,108,1524
11-May-20,70,6726,88,5112,1,109,1505
12-May-20,16,6742,110,5222,0,109,1411
13-May-20,37,6779,58,5280,2,111,1388
14-May-20,40,6819,70,5350,1,112,1357
15-May-20,36,6855,88,5438,0,112,1305
16-May-20,17,6872,73,5511,1,113,1248
17-May-20,22,6894,59,5570,0,113,1211
18-May-20,47,6941,44,5614,0,113,1214
19-May-20,37,6978,31,5645,1,114,1219
20-May-20,31,7009,60,5705,0,114,1190
21-May-20,50,7059,90,5795,0,114,1150
22-May-20,78,7137,63,5858,1,115,1164
23-May-20,48,7185,53,5911,0,115,1159
24-May-20,60,7245,33,5944,0,115,1186
25-May-20,172,7417,34,5978,0,115,1324
26-May-20,187,7604,62,6040,0,115,1449
27-May-20,15,7619,42,6082,0,115,1422
28-May-20,10,7629,86,6168,0,115,1346
29-May-20,103,7732,66,6234,0,115,1383
30-May-20,30,7762,95,6329,0,115,1318
31-May-20,57,7819,23,6352,0,115,1352
1-Jun-20,38,7857,51,6403,0,115,1339
2-Jun-20,20,7877,66,6469,0,115,1293
3-Jun-20,93,7970,61,6530,0,115,1325
4-Jun-20,277,8247,28,6558,0,115,1574
5-Jun-20,19,8266,51,6609,1,116,1541
6-Jun-20,37,8303,25,6634,1,117,1552
7-Jun-20,19,8322,39,6673,0,117,1532
8-Jun-20,7,8329,20,6693,0,117,1519
9-Jun-20,7,8336,281,6974,0,117,1245
10-Jun-20,2,8338,39,7013,1,118,1207
11-Jun-20,31,8369,51,7064,0,118,1187
12-Jun-20,33,8402,103,7167,1,119,1116
13-Jun-20,43,8445,143,7310,1,120,1015
14-Jun-20,8,8453,35,7345,1,121,987
15-Jun-20,41,8494,54,7399,0,121,974
16-Jun-20,11,8505,333,7732,0,121,652
17-Jun-20,10,8515,140,7872,0,121,522
18-Jun-20,14,8529,127,7999,0,121,409
19-Jun-20,6,8535,70,8069,0,121,345
20-Jun-20,21,8556,76,8145,0,121,290
21-Jun-20,16,8572,10,8155,0,121,296
22-Jun-20,15,8587,21,8176,0,121,290
23-Jun-20,3,8590,9,8185,0,121,284
24-Jun-20,6,8596,45,8230,0,121,245
25-Jun-20,4,8600,40,8270,0,121,209
26-Jun-20,6,8606,23,8293,0,121,192
27-Jun-20,10,8616,14,8307,0,121,188
28-Jun-20,18,8634,10,8317,0,121,196
29-Jun-20,3,8637,16,8333,0,121,183
30-Jun-20,2,8639,20,8353,0,121,165
1-Jul-20,1,8640,21,8374,0,121,145
2-Jul-20,3,8643,62,8436,0,121,86
3-Jul-20,5,8648,9,8445,0,121,82
4-Jul-20,10,8658,15,8460,0,121,77
5-Jul-20,5,8663,4,8464,0,121,78
6-Jul-20,5,8668,11,8475,0,121,72
7-Jul-20,6,8674,5,8480,0,121,73
8-Jul-20,3,8677,5,8485,0,121,71
9-Jul-20,6,8683,13,8498,0,121,64
10-Jul-20,13,8696,12,8510,0,121,65
11-Jul-20,8,8704,4,8514,1,122,68
12-Jul-20,14,8718,4,8518,0,122,78
13-Jul-20,7,8725,1,8519,0,122,84
14-Jul-20,4,8729,4,8523,0,122,84
15-Jul-20,5,8734,2,8525,0,122,87
16-Jul-20,3,8737,12,8537,0,122,78
17-Jul-20,18,8755,3,8540,0,122,93
18-Jul-20,9,8764,5,8545,0,122,97
19-Jul-20,15,8779,7,8552,1,123,104
20-Jul-20,21,8800,2,8554,0,123,123
21-Jul-20,15,8815,7,8561,0,123,131
22-Jul-20,16,8831,4,8565,0,123,143
23-Jul-20,9,8840,8,8573,0,123,144
24-Jul-20,21,8861,3,8576,0,123,162
25-Jul-20,23,8884,17,8593,0,123,168
26-Jul-20,13,8897,6,8599,1,124,174
27-Jul-20,7,8904,1,8600,0,124,180
28-Jul-20,39,8943,6,8606,0,124,213
29-Jul-20,13,8956,5,8611,0,124,221
30-Jul-20,8,8964,5,8616,0,124,224
31-Jul-20,12,8976,27,8643,1,125,208
1-Aug-20,9,8985,3,8646,0,125,214
2-Aug-20,14,8999,17,8663,0,125,211
3-Aug-20,2,9001,4,8667,0,125,209
4-Aug-20,1,9002,16,8683,0,125,194
5-Aug-20,21,9023,18,8701,0,125,197
6-Aug-20,15,9038,11,8712,0,125,201
7-Aug-20,25,9063,15,8727,0,125,211
8-Aug-20,7,9070,47,8774,0,125,171
9-Aug-20,13,9083,9,8783,0,125,175
10-Aug-20,11,9094,19,8802,0,125,167
11-Aug-20,9,9103,6,8808,0,125,170
12-Aug-20,11,9114,8,8816,0,125,173
13-Aug-20,15,9129,4,8820,0,125,184
14-Aug-20,20,9149,7,8827,0,125,197
15-Aug-20,26,9175,3,8830,0,125,220
16-Aug-20,25,9200,28,8858,0,125,217
